timestamp,city,forecast_date,temperature,temperature_min,temperature_max,condition,wind,humidity,pressure,visibility,dew_point,feels_like
2026-04-27 00:36:36,Manila,2026-04-27,29°C,26°C,32°C,,9 km/h,69%,1011 mbar,8 km,23°C,32°C
2026-04-27 00:36:47,Manila,2026-04-28,29°C,26°C,32°C,,9 km/h,69%,1011 mbar,8 km,23°C,32°C
2026-04-27 00:36:58,Manila,2026-04-29,29°C,26°C,32°C,,9 km/h,69%,1011 mbar,8 km,23°C,32°C
2026-04-27 02:10:03,manila,,29 °C,Isolated tstorms. Mostly cloudy.,36 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:03,manila,,29 °C,Showers late. Cloudy.,36 / 27 °C,40 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:03,manila,,29 °C,Showers late. Mostly cloudy.,37 / 27 °C,41 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:03,manila,,29 °C,Showers late. Overcast.,36 / 27 °C,40 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:03,manila,,29 °C,Isolated tstorms. Cloudy.,36 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:03,manila,,29 °C,Isolated tstorms late. Overcast.,36 / 26 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:03,manila,,29 °C,Isolated tstorms late. Overcast.,35 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:15,manila,,29 °C,Isolated tstorms. Mostly cloudy.,36 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:15,manila,,29 °C,Showers late. Cloudy.,36 / 27 °C,40 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:15,manila,,29 °C,Showers late. Mostly cloudy.,37 / 27 °C,41 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:15,manila,,29 °C,Showers late. Overcast.,36 / 27 °C,40 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:15,manila,,29 °C,Isolated tstorms. Cloudy.,36 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:15,manila,,29 °C,Isolated tstorms late. Overcast.,36 / 26 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:15,manila,,29 °C,Isolated tstorms late. Overcast.,35 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:10:25,manila,,29 °C,Isolated tstorms. Mostly cloudy.,36 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
